제목,링크,내용
대선주조 조우현 대표, '<b>어린이</b> 교통안전 릴레이 챌린지',http://www.gnnews.co.kr/news/articleView.html?idxno=483148,어린이 교통안전 릴레이 챌린지는 행정안전부가 어린이 교통안전에 대한 국민적 관심을 높이고 어린이 보호구역 내 교통사고 예방과 어린이 보호를 최우선으로 하는 문화를 정착시키기 위해 추진하는 캠페인이다 
인천시, <b>어린이보호구역</b> 내 교차로 노란신호등으로 전면 교체,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004707749,인천시는 어린이들의 안전한 보행환경 조성을 위해 운전자들이 어린이보호구역을 쉽게 알아볼 수 있도록 교통신호등을 노란신호등으로 교체를 추진한다 인천시는 인천경찰청과 협업해 지역 내 초등학교 등 개교 
데스크단신]<b>어린이보호구역</b> 휴일 점멸 운영,https://mpmbc.co.kr/article/UO9BRJPCY6RIV7WL,강진군은 대구면 대구초등학교 앞 어린이보호구역 신호등을 휴일에는 점멸 운영합니다  사단법인 장보고글로벌재단과 완도군은 제회 장보고한상 어워드 대상 수상자로 정영수 그룹 
대선주조 조우현 대표, ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 캠페인 동참,https://ilyo.co.kr/?ac=article_view&entry_id=411985,대선주조 조우현 대표가 운전자들의 어린이 보호구역 내 교통사고 예방을 위해 나섰다 대선주조는 대선주조 조우현 대표가 일 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 
교통사고 잦은 <b>어린이보호구역</b> 분석해 맞춤형 대책 만든다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005598079,행정안전부는 교통사고가 잦은 어린이보호구역의 사고원인 분석과 교통안전시설 개선을 위해 관계기관 합동 현장점검을 실시한다고 일 밝혔다 이번 점검은 교통사고가 건 이상 발생했거나 사망사고가 발생한 
강진군 대구면 <b>어린이보호구역</b> 휴일 점멸 운영,https://mpmbc.co.kr/article/hnynbx2oxu7YHV6kkHH,강진군은 대구면 대구초등학교 앞 어린이보호구역 신호등을 휴일에는 점멸 운영하기로 했습니다 강진군은 휴일동안 대구면과 마량면을 찾는 관광객 증가로 교통체증이 빈번하게 발생함에 따라 오는 일부터 
'<b>어린이보호구역</b>'에서 차량 5대가 모두 신호를 위반하는 장면 (영상),https://www.wikitree.co.kr/articles/689885,어린이보호구역에서 정지 신호를 무시하고 직진하는 차들을 모두 신고했다는 사연이 알려졌다 일 커뮤니티 보배드림에 초 만에 만 원 후기라는 제목으로 올라온 글이 누리꾼들의 이목을 끌고 있다 글쓴이는 
[B tv 인천뉴스] 인천시, <b>어린이보호구역</b> 교차로 신호등 교체,http://ch1.skbroadband.com/content/view?parent_no=24&content_no=58&p_no=129934,인천시가 인천경찰청과 함께 모든 어린이보호구역내 교차로를 노란신호등으로 교체합니다 초등학교 등 개교 일대 교차로 곳을 노란신호등으로 교체해 차량 속도  서행과 보행자 주의 환기로 
대선주조 조우현 대표, '<b>어린이</b> 교통안전 릴레이 챌린지' 동참,http://www.meconomynews.com/news/articleView.html?idxno=58285,어린이 보호구역 내 교통사고 예방 시장경제강영범 기자 대선주조 조우현 대표 사진강영범기자 대선주조 조우현 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 
박용준 삼진식품 대표, <b>어린이</b> 교통안전 릴레이 챌린지 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004604608,어린이 교통안전 릴레이 챌린지는 어린이 보호구역 내 교통사고를 예방하고 어린이 보호 최우선 문화 정착을 위해 지난해 월 행정안전부 주도로 시작한 국민 참여 캠페인이다 어린이 횡단 중 사고 예방의 
광진구의회 '<b>어린이</b> 교통안전 개선' 간담회 진행,http://www.gukjenews.com/news/articleView.html?idxno=2311213,주민들은 어린이통학로 교통안전 및 개선을 위해서는 조례에 보행신호 음성안내 보조장치 설치 및 재정지원 보행환경개선지구 지정 어린이 보호구역 내 공사현장 관리 등이 반영돼야 한다며 적극적으로 의견을 제시했다 
장수경찰서, <b>어린이</b> 등굣길 교통안전 활동 실시,http://www.jeollailbo.com/news/articleView.html?idxno=637554,이날 활동은 교통안전 어린이 홍보용품 배부와 함께 교통지도 활동을 실시해 어린이보호구역 내 불법 주정차 근절을 위한 단속활동을 병행 실시했다 장수경찰서는 앞으로도 초등학교 통학로 주변을 중심으로 어린이 
<b>어린이보호구역</b>(스쿨존)에서 10살 된 초등학생을 치어 숨지게 한 60대 중형 구...,https://www.sisa-news.com/news/article.html?no=172087,피의자 변호인 측은 이 사건 사고는 어린이보호구역 교통사고로 언론에 수차례 보도됐으나 사고 당시 피해 학생이 무단횡단을 했다는 점은 단 한차례도 보도된 바가 없다고 설명했다 인천 한 초등학교 인근 
전남, <b>어린이 보호구역</b> 681개소 중 501개소 설치,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001886478,전남경찰청청장 김재규과 전남자치경찰위원회위원장 조만형는 관내 어린이보호구역 개소 중 개소에 대한 설치를 완료하여 약 에 해당하는 보호구역에 무인단속카메라 설치를 완료하였다고 밝혔다 일 
인천시, <b>어린이보호구역</b> 내 교차로 노란신호등으로 교체,http://www.incheonnews.com/news/articleView.html?idxno=403941,어린이보호구역 내 교차로 개소에서 개소확대 설치 차량운전자와 보행자의 시인성 대폭 향상 보호구역 식별용이 남동구 성리초교 노란신호등 설치 인천시가 어린이들의 안전한 보행환경 조성을 
삼진식품 박용준 대표, <b>어린이</b> 교통안전 릴레이 챌린지 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004708597,어린이 교통안전 릴레이 챌린지는 어린이 보호구역 내 교통사고를 예방하고 어린이 보호 최우선 문화 정착을 위해 지난해 월 행정안전부 주도로 시작한 국민 참여 캠페인이다 어린이 횡단 중 사고 예방의 중요성을 
교통사고 잦은 '<b>어린이보호구역</b>' 36곳 집중 합동점검,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004968052,행정안전부가 어린이보호구역에서의 교통사고로 인한 어린이의 안타까운 희생이 최소화하고자 교통사고가 잦은 어린이보호구역에 대한 사고원인 분석과 교통안전시설 개선을 위한 관계기관 합동 현장점검을 
광진구의회, <b>어린이</b>통학교 교통안전 개선 정책제언 간담회 개최,http://www.enewstoday.co.kr/news/articleView.html?idxno=1513150,주민들은 어린이통학로 교통안전 및 개선을 위해서는 조례에 보행신호 음성안내 보조 장치 설치 및 재정지원 보행환경개선지구 지정 어린이 보호구역 내 공사현장 관리 등이 반영돼야 한다며 적극적으로 의견을 
인천 <b>어린이 보호구역</b> '노란색 신호등' 교체,http://www.kyeongin.com/main/view.php?key=20210913010002376,인천시가 어린이 보호구역을 쉽게 알아볼 수 있도록 보호구역 내 교차로의 교통신호등을 모두 노란색으로 교체한다고 일 밝혔다 인천시는 개 초등학교 인근 개 신호등과 유치원곳 주변 개 신호등을 모두 
김원기 경기도의원, ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 참여,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=004&oid=081&aid=0003216744,경기도의회 안전행정위원회 김원기 의원더불어민주당의정부이 어린이보호구역 내 교통안전문화 정착과 사고예방을 위한 어린이 교통안전 릴레이 챌린지에 동참했다 김원기 의원은 단 멈춤 쪽 저쪽 초 
홍성군, <b>어린이 보호구역</b> 교통안전 캠페인 실시,http://www.shinailbo.co.kr/news/articleView.html?idxno=1460478,충남 홍성군이일 홍성초등학교 일대에서 안전한 등하굣길 조성과 어린이보호구역 내 안전 운전 등 교통안전 문화 정착과 안전 인식 개선을 위한어린이 보호구역 교통안전 캠페인을 전개했다 이날 군청 건설교통과 
인천시, <b>어린이보호구역</b> 교차로 노란신호등으로 전면 교체,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202109131040362170338,그동안 인천시는 민식이법 관련해 어린이보호구역 교통안전시설 확충을 위해 년 억 원 년 억 원 등 국비를 지원 받았고 작년에는 억 원 교차로 개소 금년에는 총사업비 억 중 억 원을 집행해 
[특별기고] <b>어린이보호</b> 도로교통법, 잘 작동하려면,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1488014,어린이보호구역 내 주정차를 금지하는 도로교통법이 개정돼 시행을 앞두고 있다 도로교통법이 더 강화된 방향으로 개정된 취지는 어린이 교통안전을 제고하기 위해 어린이 보호구역 내에서 정차 및 
삼진식품 박용준 대표, <b>어린이</b> 교통안전 릴레이 챌린지 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004969064,어린이 교통안전 릴레이 챌린지는 어린이 보호구역 내 교통사고를 예방하고 어린이 보호를 최우선으로 하는 문화캠페인다 지난해 월 행정안전부 주도로 시작됐다 어린이 횡단 중 사고 예방의 중요성을 알리는 
전주 '용흥·반월초' <b>어린이보호구역</b> 교통사고 다발지역...<b>어린이</b> 4명 사상,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=002&aid=0002209862,행안부 전주 곳 포함해 전국 곳 어린이보호구역서 합동현장점검 전북에서어린이보호구역내에서건이상의교통사고와 사망사고가발생한사고다발지역이곳인 것으로조사됐다 일 
교통사고 잦은 <b>어린이보호구역</b> 현장 점검한다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=081&aid=0003215571,교통사고가 잦은 어린이보호구역을 대상으로 한 관계기관 합동 현장 점검이 시작된다 행정안전부는 교통사고가 건 이상 발생했거나 사망사고가 발생한 적이 있는 어린이보호구역에 대한 사고 원인 분석 및 
김원기 경기도의원, '<b>어린이</b> 교통안전 릴레이 챌린지' 동참,http://www.kmaeil.com/news/articleView.html?idxno=306124,경기도의회 안전행정위원회 김원기 의원더불어민주당 의정부이 어린이보호구역 내 교통안전문화 정착과 사고예방을 위한 어린이 교통안전 릴레이 챌린지에 동참하였다사진경기도의회 경기도의회 
광진구의회, <b>어린이</b>통학교 교통안전 개선 정책제언 간담회 개최,http://www.sisamagazine.co.kr/news/articleView.html?idxno=401965,어린이통학로 교통안전 및 개선을 위해서는 조례에 보행신호 음성안내 보조장치 설치 및 재정지원 보행환경개선지구 지정 어린이 보호구역 내 공사현장 관리 등이 반영돼야 한다며 적극적으로 의견을 제시했다 또 정책 
