제목,링크,내용
CJ대한통운, 군포지역 <b>어린이</b> 등하굣길 '노란발자국' 부착,http://www.shinailbo.co.kr/news/articleView.html?idxno=1465025,대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란 발자국을 설치한다고 일 밝혔다 노란 발자국 설치는 군포시청 군포경찰서와 
강동구, <b>어린이</b> 통학로 안전하게 지킨다,http://www.jejutwn.com/news/article.html?no=93414,우선 음성안내 보조장치를 어린이보호구역 개소 강일초 고일초고덕유치원 명덕초 천동초에 설치하여 무단횡단을 방지하고 안전한 보행을 유도한다 음성안내를 통해 운전자와 보행자에게 도로 상황 및 
CJ대한통운, <b>어린이</b> 등하굣길에 ‘노란발자국’ 부착,http://www.nspna.com/news/?mode=view&newsid=528537,이복현 기자 대한통운이 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란 발자국을 설치한다 노란 발자국 설치 작업은 군포시청 
&quot;횡단보도 앞에선 멈춰요!&quot;… CJ대한통운, <b>어린이</b> 등하굣길에 '노란 발자국' ...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=417&aid=0000738398,대한통운이 경기도 군포시 어린이 보호구역 횡단보도에 노란 발자국을 설치하며 어린이들을 위한 안전한 등하굣길 만들기에 나섰다 대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 
안성시, 유관기관·협력단체 합동 <b>어린이</b> 교통안전 캠페인 전개,http://www.weeklytoday.com/news/articleView.html?idxno=409358, 안성시 유관기관협력단체 합동 어린이 교통안전 캠페인 전개 안성시는 월 일 양진초등학교 앞에서 어린이보호구역 교통문화 질서 확립 및 안전한 교통환경 조성을 위해 안성경찰서 안성녹색어머니회 
CJ대한통운, <b>어린이</b> 등하굣길에 ‘노란발자국’ 부착,https://www.cnbnews.com/news/article.html?no=512038, 씨앤비시앤비뉴스씨앤비뉴스 대한통운이 굿네이버스와 함께 군포 지역 내 어린이집초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란 발자국을 설치한다고 일 밝혔다 
[사회 단신] CJ대한통운, <b>어린이</b> 등하굣길 ‘노란발자국’ 부착 등,http://www.lawissue.co.kr/view.php?ud=202109281809082804f4ab64559d_12, 대한통운 어린이 등하굣길 노란발자국 부착 대한통운이 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란 발자국을 설치한다고 일 
제주경찰청, ‘<b>어린이</b> 교통안전지도 제작’ 공모전 개최,http://www.boannews.com/media/view.asp?idx=101112&kind=,이번 공모전을 통해 접수된 출품작들을 대상으로 공정한 심사를 통해 우수작 편을 선발 후 제주청장 상장 및 부상품 등을 수여할 예정이다그간 경찰에서는 어린이보호구역스쿨존 내 어린이 교통사고를 예방하기 
CJ대한통운, 군포 <b>어린이 보호구역</b>에 교통안전 위한 '노란 발자국' 설치,http://www.choicenews.co.kr/news/articleView.html?idxno=85131,사진대한통운 대한통운은 일 군포 지역 어린이 보호구역 횡단보도 곳에 교통사고 예방을 돕는 노란 발자국을 설치한다고 밝혔다 대한통운에 따르면 노란 발자국은 어린이들이 횡단보도 신호대기때 
이소영 &quot;<b>어린이 보호구역</b>에 미인가 대안학교도 포함하는 길 열려&quot;,http://www.enewstoday.co.kr/news/articleView.html?idxno=1515323,어린이 보호구역 지정대상에 미인가 대안학교를 포함하는 등 보호구역 지정대상이 확대돼 어린이 안전을 더욱 두텁게 보호할 수 있는 길이 열렸다 국회 더불어민주당 이소영 의원경기 의왕과천에 따르면 어린이 
