제목,링크,내용
주춤했던 ETN 다시 `꿈틀`…금·은부터 <b>커피</b>까지 `주목` [여의도레이더],https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=215&aid=0000986169,기자 네 독특한 원자재로는 요즘 커피 원두가 강한 오름세를 보이고 있다고 합니다 세계 원두 생산 위국인 브라질과 베트남에서 공급에 차질이 생기면서인데요 브라질은 올해 한파와 가뭄으로 커피 생산이 
이디야<b>커피</b>, 컵<b>커피</b> 누적 판매 300만개 돌파,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=123&aid=0002255307,이디야커피가 지난 월 출시한 컵커피가 소비자에게 꾸준한 인기를 끌며 개월여만에 누적 판매 만개를 달성하며 시장에서 큰 인기를 얻고 있다고 일 밝혔다 이디야커피가 지난 월 출시한 컵커피는 이디야커피의 
메가<b>커피</b>, 가맹사업 5년8개월만에 1500호점 돌파,https://daily.hankooki.com/lpage/industry/202109/dh20210923145114148000.htm?s_ref=nv,메가엠지씨커피메가커피가 가맹사업 시작 년 개월 만에 호점을 돌파했다 메가커피는 지난 일 서울 중랑구 면목동에 번째 매장인 면목역점을 오픈했다고 일 밝혔다 메가커피는 년 월에 호점인 
스타벅스 <b>커피</b>, 우유 대신 귀리로 만든 ‘오트 밀크’ 고를 수 있다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001890339,스타벅스에서 커피 주문 때 귀리로 만든 대체우유인 오트 밀크를 우유 대신 고를 수 있게 됐다 스타벅스커피 코리아는 식물 기반 대체 우유인 오트 밀크를 오는 일부터 기본 선택 옵션으로 도입한다 이번 
“매월 24일 <b>커피</b> 100원”…이마트24, 연말까지 이프레쏘 데이,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004972636,이마트는 올해 연말까지 원두커피를 알리기 위해 매월 일 하루 동안 원두커피를 원에 제공하는 파격적인 이벤트를 진행한다고 일 밝혔다 이프레쏘 데이에는 이프레쏘 아메리카노와 아이스아메리카노를 
인크<b>커피</b>, 첫 플래그십스토어 가산점 오픈,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=009&aid=0004855395,인크커피가 하남미사 성남고등 등에 이은 번째 매장이자 첫 플래그십스토어인 인크커피 가산점을 오픈했다고 일 밝혔다 회사측은 가산점은 년간 공들여 탄생한 공간이라고 설명했다 년대에 지어진 건물에 
서울우유, 다음달부터 가격 5.4% 인상…다음은 빵·<b>커피</b>?,http://www.newsprime.co.kr/news/article.html?no=553086,우유 가격이 오르며 유제품을 비롯해 빵커피 등 우유를 재료로 하는 다른 식품 가격이 오를 가능성도 커피 프랜차이즈 업계 한 관계자는 아직 가격 인상 관련 검토하는 바는 없다며 우유 가격이 커피 제품 가격에 
김아중, 오늘도 예쁨…윤세아 <b>커피</b>차 선물 인증 “천사인가요?”[M+★SNS],https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=057&aid=0001609301,배우 김아중이 배우 윤세아의 커피차 선물에 고마움을 전했다 김아중은 일 오전 자신의 인스타그램에 윤세아 선배님은 천사인가요라는 글과 사진을 게재했다 이어 보내주신 간식에 커피차에 든든히 모두 힘내서 
다날, 이디야<b>커피</b>에 페이코인 등 결제 서비스 제공,http://www.datanet.co.kr/news/articleView.html?idxno=164654,김주예 이디야커피 마케팅본부장왼쪽과 박지만 다날 결제사업본부장이 협약 체결 후 기념촬영을 하고 있다 다날은 국내 커피 프랜차이즈 이디야커피와 업무협약을 맺고 페이코인을 비롯한 자사 결제 서비스를 
이디야<b>커피</b> &quot;블록체인 페이코인으로도 간편결제&quot;,http://www.shinailbo.co.kr/news/articleView.html?idxno=1463365,이디야커피는 통합결제 비즈니스 전문기업 다날과 업무협약을 맺고 이달 일부터 페이코인 결제 서비스를 도입한다 일 이디야커피에 따르면 이날 김주예 이디야 마케팅본부장과 박지만 다날 결제사업본부장 등이 
다날, 이디야<b>커피</b>와 업무협약…&quot;페이코인 휴대폰결제 서비스&quot;,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=031&aid=0000625275,통합결제 비즈니스 전문기업 다날이 국내 위 커피 프랜차이즈 이디야커피와 업무협약을 맺고 페이코인을 비롯한 자사 결제 서비스를 제공한다고 일 밝혔다 다날은 이번 협약으로 최근 가입자 만명을 돌파한 
이디야<b>커피</b>, 페이코인 결제 서비스 도입,https://www.news2day.co.kr/article/20210923500248,이디야커피가 일 통합결제 비즈니스 전문기업 다날과 업무협약식을 함에 따라 오는 일부터 페이코인 결제 서비스를 도입한다고 밝혔다 이날 업무협약식에는 이디야커피 마케팅본부 김주예 본부장과 다날 
다날, 이디야<b>커피</b>와 MOU 체결…페이코인, 오프라인 휴대폰결제 서비스 제공,http://www.newspim.com/news/view/20210923000859,통합결제 전문기업 다날이 커피 프랜차이즈 이디야커피와 업무협약을 맺고 페이코인을 비롯한 자사 결제 서비스를 제공한다고일 밝혔다 다날은 이번 협약으로 최근 가입자만명을 돌파한 이디야멤버스 앱과 
<b>커피</b>숍 유리창 부수고 들어온 승용차, 손님 없어서 다행,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010731510,일 오전 시분 경남 진주시 가좌동 경상국립대학교 앞 도로변 커피숍으로 승용차가 인도를 넘어 돌진했다 이 사고로 커피숍 매장에 있던 직원 명이 다쳐 인근 병원으로 이송돼 치료를 받았다 매장에 손님이 없어 
서울 우유 가격 5.4% 인상.... 빵 과자 <b>커피</b> 등 줄줄이 오를 듯,https://www.busaneconomy.com/news/articleView.html?idxno=258881,또 우유를 원료로 하는 빵과 과자 커피 아이스크림 등 다른 식품의 가격도 순차적으로 인상될 것으로 예상된다 이에 앞서 라면이나 계란 등 서민들이 주로 이용하는 식품 가격이 잇따라 상승해 장바구니 물가에 
&quot;매월 24일 <b>커피</b>가 100원&quot;…이마트24 `이프레쏘 데이` 연말까지 `쭉`,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002697781,이마트는 올해 월부터 원두커피를 알리기 위해 진행 중인 원두커피 원 이벤트가 가시적 효과를 내고 있다고 일 밝혔다 이 이벤트는 매월 일 이마트 점포에서 이프레쏘 원두커피를 원에 제공하는 
김아중, 윤세아의 <b>커피</b>차 선물 인증 [리포트:컷],https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=213&aid=0001195341,배우 김아중이 윤세아의 커피차 선물을 인증했다 일 김아중은 자신의 인스타그램에 윤세아  선배님은 천사인가요 보내주신 간식에 커피차에 든든히 모두 힘내서 촬영 했어요 너무 감사합니다 선배님 저는 
이디야<b>커피</b>, 젊은 고객층 확보·편의성 증대 위해 다날과 '맞손',http://www.enewstoday.co.kr/news/articleView.html?idxno=1513930,이디야커피와 다날이 업무협약를 체결했다 사진은 왼쪽부터 김주예 이디야커피마케팅본부장 박지만 다날 결제사업본부장 사진이디야커피 이디야 매장에서 페이코인 결제가 가능해진다 일 이디야커피는 
이디야 '컵<b>커피</b>', 3개월 만에 300만 개 판매,http://www.newsfreezone.co.kr/news/articleView.html?idxno=337104,이디야커피는 지난 월 출시한 컵커피가 약 개월 만에 누적 판매 만 개를 달성했다고 일 밝혔다 사측에 따르면 컵커피는 이디야커피의 자체 로스팅 공장 드림팩토리에서 특허출원 된 로스팅 기법으로 듀얼 
이마트24, 매월 24일 ‘이프레쏘 데이’…‘원두<b>커피</b> 100원’,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002532108,이마트의 커피 마케팅이 효과를 나타내고 있다 이마트는 올해 월부터 원두커피를 알리기 위해 매월 일 하루 동안 원두커피를 원에 제공하는 파격적인 이벤트를 진행 중이다 실제로 이프레쏘를 원에 
이디야<b>커피</b>, 컵<b>커피</b> 누적 판매 300만 개 돌파,http://www.sisaon.co.kr/news/articleView.html?idxno=131814,이디야커피 컵커피 종 이디야커피 이디야커피는 이디야 컵커피 종이 출시 세 달여 만에 만 개 판매됐다고 일 밝혔다 지난 월 출시된 컵커피는 이디야커피의 로스팅 공장 드림팩토리에서 특허출원된 로스팅 
이디야<b>커피</b>, 페이코인 결제 서비스 도입,http://www.finomy.com/news/articleView.html?idxno=99683,이디야커피가 페이코인 결제 서비스를 도입한다 이디야커피는 통합결제 비즈니스 전문기업 다날과 이러한 내용의 업무 협약식을 진행했다고 일 밝혔다 협약식에는 김주예 이디야커피 마케팅본부장과 박지만 다날 
서울우유 10월에 우윳값 5.4% 인상…빵·<b>커피</b>도 줄줄이 오를 듯,http://tbs.seoul.kr/news/newsView.do?typ_800=1&idx_800=3450077&seq_800=20442654,남양유업과 매일유업 등 다른 우유업체도 조만간 가격을 올릴 것으로 보입니다 이에 따라 우유를 원료로 쓰는 빵과 과자 커피 아이스크림 등 다른 식품 가격이 업종에 따라 시차를 두고 줄줄이 오를 것으로 예상됩니다
&quot;매월 24일 <b>커피</b> 100원&quot;... 이마트24, 이프레쏘 데이 인기,https://www.busaneconomy.com/news/articleView.html?idxno=258790,이마트가 매월 일 원두커피 원 이벤트를 진행한다 이마트 제공 이마트의 커피 마케팅 이프레쏘 데이가 성과를 내고 있다 이마트는 하루 동안 원두커피를 원에 판매하는 이프레쏘 데이 매출이 전주 
오리온 꼬북칩·이디야 컵<b>커피</b>, 누적판매량 3000만봉·300만컵↑,http://www.enewstoday.co.kr/news/articleView.html?idxno=1513807,오리온과 이디야커피가 일 각각 누적판매량 만봉 만개를 돌파했다고 일 밝혔다 오리온은 꼬북칩 이디야커피는 지난 월 출시한 컵커피가 개월여만에 누적 판매 만개를 달성했다 인기메뉴 토샷추 
다날, 이디야<b>커피</b>와 MOU 체결…페이코인, 오프라인 휴대폰결제 서비스 제공,http://www.nspna.com/news/?mode=view&newsid=527826,이복현 기자 통합결제 비즈니스 전문기업 다날이 국내 커피 프랜차이즈 이디야커피와 업무협약을 맺고 페이코인을 비롯한 자사 결제 서비스를 제공한다 다날은 이번 협약으로 최근 가입자 만명을 돌파한 
